WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=52662:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 10069


Count of Edges = 4 , Packets = 1000, nanotimes = 12453


Count of Edges = 4 , Packets = 1000, nanotimes = 9929


Count of Edges = 4 , Packets = 1000, nanotimes = 10957


Count of Edges = 4 , Packets = 1000, nanotimes = 7948


Count of Edges = 4 , Packets = 1000, nanotimes = 8773


Count of Edges = 4 , Packets = 1000, nanotimes = 8646


Count of Edges = 4 , Packets = 1000, nanotimes = 10443


Count of Edges = 4 , Packets = 1000, nanotimes = 10322


Count of Edges = 4 , Packets = 1000, nanotimes = 9899


Count of Edges = 4 , Packets = 1000, nanotimes = 8531


Count of Edges = 4 , Packets = 1000, nanotimes = 8037


Count of Edges = 4 , Packets = 1000, nanotimes = 7927


Count of Edges = 4 , Packets = 1000, nanotimes = 11431


Count of Edges = 4 , Packets = 1000, nanotimes = 8302


Count of Edges = 4 , Packets = 1000, nanotimes = 8076


Count of Edges = 4 , Packets = 1000, nanotimes = 7983


Count of Edges = 4 , Packets = 1000, nanotimes = 8250


Count of Edges = 4 , Packets = 1000, nanotimes = 8233


Count of Edges = 4 , Packets = 1000, nanotimes = 8270


