WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=53013:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 8843


Count of Edges = 4 , Packets = 1000, nanotimes = 7242


Count of Edges = 4 , Packets = 1000, nanotimes = 8451


Count of Edges = 4 , Packets = 1000, nanotimes = 10930


Count of Edges = 4 , Packets = 1000, nanotimes = 9297


Count of Edges = 4 , Packets = 1000, nanotimes = 10087


Count of Edges = 4 , Packets = 1000, nanotimes = 8463


Count of Edges = 4 , Packets = 1000, nanotimes = 8848


Count of Edges = 4 , Packets = 1000, nanotimes = 8863


Count of Edges = 4 , Packets = 1000, nanotimes = 9587


Count of Edges = 4 , Packets = 1000, nanotimes = 9672


Count of Edges = 4 , Packets = 1000, nanotimes = 10869


Count of Edges = 4 , Packets = 1000, nanotimes = 7663


Count of Edges = 4 , Packets = 1000, nanotimes = 7861


Count of Edges = 4 , Packets = 1000, nanotimes = 9647


Count of Edges = 4 , Packets = 1000, nanotimes = 7115


Count of Edges = 4 , Packets = 1000, nanotimes = 7884


Count of Edges = 4 , Packets = 1000, nanotimes = 7229


Count of Edges = 4 , Packets = 1000, nanotimes = 9211


Count of Edges = 4 , Packets = 1000, nanotimes = 9142


Count of Edges = 4 , Packets = 1000, nanotimes = 9355


Count of Edges = 4 , Packets = 1000, nanotimes = 9522


Count of Edges = 4 , Packets = 1000, nanotimes = 7656


Count of Edges = 4 , Packets = 1000, nanotimes = 8198


Count of Edges = 4 , Packets = 1000, nanotimes = 8942


Count of Edges = 4 , Packets = 1000, nanotimes = 9585


Count of Edges = 4 , Packets = 1000, nanotimes = 11131


Count of Edges = 4 , Packets = 1000, nanotimes = 6438


Count of Edges = 4 , Packets = 1000, nanotimes = 7275


Count of Edges = 4 , Packets = 1000, nanotimes = 8821


Count of Edges = 4 , Packets = 1000, nanotimes = 10891


Count of Edges = 4 , Packets = 1000, nanotimes = 9371


Count of Edges = 4 , Packets = 1000, nanotimes = 6318


Count of Edges = 4 , Packets = 1000, nanotimes = 7440


Count of Edges = 4 , Packets = 1000, nanotimes = 5716


Count of Edges = 4 , Packets = 1000, nanotimes = 7579


Count of Edges = 4 , Packets = 1000, nanotimes = 8189


Count of Edges = 4 , Packets = 1000, nanotimes = 8954


Count of Edges = 4 , Packets = 1000, nanotimes = 8672


Count of Edges = 4 , Packets = 1000, nanotimes = 5456


Count of Edges = 4 , Packets = 1000, nanotimes = 9941


Count of Edges = 4 , Packets = 1000, nanotimes = 6916


Count of Edges = 4 , Packets = 1000, nanotimes = 9237


Count of Edges = 4 , Packets = 1000, nanotimes = 11143


Count of Edges = 4 , Packets = 1000, nanotimes = 7124


Count of Edges = 4 , Packets = 1000, nanotimes = 9663


Count of Edges = 4 , Packets = 1000, nanotimes = 7876


Count of Edges = 4 , Packets = 1000, nanotimes = 7558


Count of Edges = 4 , Packets = 1000, nanotimes = 9072


Count of Edges = 4 , Packets = 1000, nanotimes = 7025


Count of Edges = 4 , Packets = 1000, nanotimes = 10642


Count of Edges = 4 , Packets = 1000, nanotimes = 8318


Count of Edges = 4 , Packets = 1000, nanotimes = 6364


Count of Edges = 4 , Packets = 1000, nanotimes = 5840


Count of Edges = 4 , Packets = 1000, nanotimes = 9748


Count of Edges = 4 , Packets = 1000, nanotimes = 11079


Count of Edges = 4 , Packets = 1000, nanotimes = 8924


Count of Edges = 4 , Packets = 1000, nanotimes = 10097


Count of Edges = 4 , Packets = 1000, nanotimes = 10608


Count of Edges = 4 , Packets = 1000, nanotimes = 9929


Count of Edges = 4 , Packets = 1000, nanotimes = 9362


Count of Edges = 4 , Packets = 1000, nanotimes = 11455


Count of Edges = 4 , Packets = 1000, nanotimes = 10081


Count of Edges = 4 , Packets = 1000, nanotimes = 10842


Count of Edges = 4 , Packets = 1000, nanotimes = 9864


Count of Edges = 4 , Packets = 1000, nanotimes = 10070


Count of Edges = 4 , Packets = 1000, nanotimes = 8002


Count of Edges = 4 , Packets = 1000, nanotimes = 8344


Count of Edges = 4 , Packets = 1000, nanotimes = 9450


Count of Edges = 4 , Packets = 1000, nanotimes = 8905


Count of Edges = 4 , Packets = 1000, nanotimes = 8686


Count of Edges = 4 , Packets = 1000, nanotimes = 9946


Count of Edges = 4 , Packets = 1000, nanotimes = 8807


Count of Edges = 4 , Packets = 1000, nanotimes = 11456


Count of Edges = 4 , Packets = 1000, nanotimes = 10161


Count of Edges = 4 , Packets = 1000, nanotimes = 11583


Count of Edges = 4 , Packets = 1000, nanotimes = 10423


Count of Edges = 4 , Packets = 1000, nanotimes = 9985


Count of Edges = 4 , Packets = 1000, nanotimes = 11067


Count of Edges = 4 , Packets = 1000, nanotimes = 8973


Count of Edges = 4 , Packets = 1000, nanotimes = 7556


Count of Edges = 4 , Packets = 1000, nanotimes = 9593


Count of Edges = 4 , Packets = 1000, nanotimes = 7912


Count of Edges = 4 , Packets = 1000, nanotimes = 7576


Count of Edges = 4 , Packets = 1000, nanotimes = 8070


Count of Edges = 4 , Packets = 1000, nanotimes = 9643


Count of Edges = 4 , Packets = 1000, nanotimes = 8544


Count of Edges = 4 , Packets = 1000, nanotimes = 10443


Count of Edges = 4 , Packets = 1000, nanotimes = 9685


Count of Edges = 4 , Packets = 1000, nanotimes = 8535


Count of Edges = 4 , Packets = 1000, nanotimes = 9139


Count of Edges = 4 , Packets = 1000, nanotimes = 8179


Count of Edges = 4 , Packets = 1000, nanotimes = 9059


Count of Edges = 4 , Packets = 1000, nanotimes = 8769


Count of Edges = 4 , Packets = 1000, nanotimes = 10440


Count of Edges = 4 , Packets = 1000, nanotimes = 5888


Count of Edges = 4 , Packets = 1000, nanotimes = 8709


Count of Edges = 4 , Packets = 1000, nanotimes = 8073


Count of Edges = 4 , Packets = 1000, nanotimes = 9338


Count of Edges = 4 , Packets = 1000, nanotimes = 9346


Count of Edges = 4 , Packets = 1000, nanotimes = 10177


Count of Edges = 4 , Packets = 1000, nanotimes = 10256


Count of Edges = 4 , Packets = 1000, nanotimes = 10057


Count of Edges = 4 , Packets = 1000, nanotimes = 8330


Count of Edges = 4 , Packets = 1000, nanotimes = 9210


Count of Edges = 4 , Packets = 1000, nanotimes = 11004
